"","Filtros.activos.","Filtros.activos..1","Sector..Actividades.de.juegos.de.azar.y.apuestas........quitar.filtro","Sector..Actividades.de.juegos.de.azar.y.apuestas........quitar.filtro.1","Sector..Actividades.de.juegos.de.azar.y.apuestas........quitar.filtro.2","Sector..Actividades.de.juegos.de.azar.y.apuestas........quitar.filtro.3","Sector..Actividades.de.juegos.de.azar.y.apuestas........quitar.filtro.4"
"1","Posición Sector","Evolución Posiciones","Nombre de la empresaNombre>","Facturación (€)Ventas (€)
				Seleccionar...
			PequeñasMedianasGrandesCorporativas","Provincia
				Seleccionar...","",NA
"2","1","0","SOCIEDAD ESTATAL LOTERIAS Y APUESTAS DEL ESTADO SME SA","8.780.477.000","Madrid","Ver más",NA
"3","2","0","EUSKAL KIROL APOSTUAK, SA","146.476.034","Bizkaia","Ver más",NA
"4","3","0","GLOBAL GAME MACHINE CORPORATION SA","85.348.000","Barcelona","Ver más",NA
"5","4","0","OPERIBERICA SAU","79.822.000","Madrid","Ver más",NA
"6","5","1","GRAN CASINO DE BARCELONA SL","74.872.165","Barcelona","Ver más",NA
"7","6","1","CODERE, SA","68.877.000","Madrid","Ver más",NA
"8","7","1","LUCKIA GAMING GROUP SA.","63.553.766","Coruña","Ver más",NA
"9","8","1","AUTOMATICOS ORENES SLU","63.092.623","Murcia","Ver más",NA
"10","9","1","JUEGOMATIC SA","46.345.844","Málaga","Ver más",NA
"11","10","4","MEDITERRANEA DE APUESTAS SA.","45.943.020","Valencia","Ver más",NA
"12","11","2","CASINO DE JUEGO GRAN MADRID SA","44.352.674","Madrid","Ver más",NA
"13","12","1","CARBI 93 SOCIEDAD ANONIMA","37.026.338","Palmas (las)","Ver más",NA
"14","13","1","JUEGOS SAN JOSE SOCIEDAD ANONIMA","35.794.358","Palmas (las)","Ver más",NA
"15","14","3","SOBIMA SA","35.583.605","Málaga","Ver más",NA
"16","15","1","RESIDENCIAL TIBIDABO SA","corporativa","Barcelona","Ver más",NA
"17","16","1","BARNA CENTER SAU","corporativa","Barcelona","Ver más",NA
"18","17","2","MISURI SA","corporativa","Madrid","Ver más",NA
"19","18","1","INTERNATIONAL BINGO TECHNOLOGY SA","corporativa","Barcelona","Ver más",NA
"20","19","1","EGARTRONIC SA","grande","Barcelona","Ver más",NA
"21","20","3","CASINOS COMAR MADRID SA.","grande","Madrid","Ver más",NA
"22","21","1","BINGOS Y JUEGOS DE VALENCIA SA","grande","Valencia","Ver más",NA
"23","22","0","RANK CATALUNYA SA","grande","Barcelona","Ver más",NA
"24","23","2","SISTEMAS TECNICOS DE CONSUMO SA","25.421.782","Tenerife","Ver más",NA
"25","24","7","GESTION DE APUESTAS NAVARRAS SL","grande","Navarra","Ver más",NA
"26","25","0","COMERCIAL DE DESARROLLOS ELECTRONICOS SA","grande","Barcelona","Ver más",NA
"27","26","1","CASINOS DEL MEDITERRANEO SA","grande","Valencia","Ver más",NA
"28","27","1","MONTECARLO ANDALUCIA SL","grande","Sevilla","Ver más",NA
"29","28","1","UNION DE OPERADORES REUNIDOS SA","grande","Coruña","Ver más",NA
"30","29","3","COMERCIAL JUPAMA SOCIEDAD ANONIMA","grande","Palmas (las)","Ver más",NA
"31","30","2","VALISA INTERNACIONAL SA","grande","Barcelona","Ver más",NA
"32","31","3","EMPRESA COMERCIAL DE RECREATIVOS SOCIEDAD ANONIMA","grande","Asturias","Ver más",NA
"33","32","2","BINGO PLAZA SA","grande","Alicante","Ver más",NA
"34","33","0","SODICARSA SA","grande","Asturias","Ver más",NA
"35","34","43","PLAY ORENES SL","grande","Murcia","Ver más",NA
"36","35","9","TELE APOSTUAK PROMOTORA DE JUEGOS Y APUESTAS SA","grande","Gipuzkoa","Ver más",NA
"37","36","18","COMPAÑIA ORENES DE RECREATIVOS SA","grande","Murcia","Ver más",NA
"38","37","2","AMIPAL SA","grande","Baleares","Ver más",NA
"39","38","(ND)","ACRESOL SA","grande","Alicante","Ver más",NA
"40","39","15","CANABINGO SA","grande","Palmas (las)","Ver más",NA
"41","40","3","ACRISMATIC SL","grande","Valencia","Ver más",NA
"42","41","3","SPORTIUM APUESTAS DEPORTIVAS SA","grande","Madrid","Ver más",NA
"43","42","0","ROMGAR SL","18.077.576","Cádiz","Ver más",NA
"44","43","7","RECREATIVOS MAFARI SA","grande","Pontevedra","Ver más",NA
"45","44","4","CASINO NUEVA ANDALUCIA MARBELLA SA","grande","Málaga","Ver más",NA
