Nombre,NombreDel,Localidad,DirCompleta
"Bluesblock, SA",BLUESBLOCK SA,BILBAO,"CL URIBITARTE 00018 , 48001 BILBAO - VIZCAYA"
"Codere Online, SAU",CODERE APUESTAS ANDALUCIA SA,ANTEQUERA,"CL TORRE DE HACHO 00003 , 29200 ANTEQUERA - MALAGA"
"Codere Online, SAU",CODERE APUESTAS ARAGON SLU,ZARAGOZA,"CA JOSE PELLICER 00000 , 50007 ZARAGOZA - ZARAGOZA"
"Codere Online, SAU","CODERE APUESTAS ASTURIAS, S.A.",GIJON,"CA POLA DE SIERO 00008 , 33207 GIJON - ASTURIAS"
"Codere Online, SAU","CODERE APUESTAS BALEARES, S.A.",CONSELL,"CT PALMA A ALCUDIA 19400 , 07330 CONSELL - MALLORCA"
"Codere Online, SAU","CODERE APUESTAS CANTABRIA, S.A.",SANTANDER,"CA COLUMNA SAGARDIA 00003 , 39009 SANTANDER - SANTANDER"
"Codere Online, SAU","CODERE APUESTAS CASTILLA LA MANCHA, S.A.",TOLEDO,"CA JARAMA 00050 , 45007 TOLEDO - TOLEDO"
"Codere Online, SAU","CODERE APUESTAS CASTILLA Y LEON, S.A.",VALLADOLID,"CA RECONDO 00011 , 47007 VALLADOLID - VALLADOLID"
"Codere Online, SAU","CODERE APUESTAS CATALUÑA, S.A.",PALAU DE PLEGAMANS,"CA MERCADERS 00001 , 08184 PALAU DE PLEGAMANS - BARCELONA"
"Codere Online, SAU",CODERE APUESTAS CEUTA SLU,CEUTA,"GT DEL TENIENTE REINOSO 00000 , 51001 CEUTA - CARTAGENA"
"Codere Online, SAU",CODERE APUESTAS DEPORTIVAS S A U,NOAIN,"P  TALLUNTXE. CALLE C 00048 , 31110 NOAIN - "
"Codere Online, SAU",CODERE APUESTAS EXTREMADURA S.A.U.,CACERES,"PO CAPELLANIAS 00105 , 10005 CACERES - CACERES"
"Codere Online, SAU",CODERE APUESTAS GALICIA SL,CORUÑA (A),"GT AMERICA 00000 , 15004 CORUÑA (A) - A CORUÑA"
"Codere Online, SAU",CODERE APUESTAS LA RIOJA SA,ARRUBAL,"CA RIO PIQUERAS 00133 , 26151 ARRUBAL - RIOJA"
"Codere Online, SAU","CODERE APUESTAS MELILLA, S.A.",MELILLA,"CA PUERTO DEPORTIVO 00011 , 52001 MELILLA - GIJON"
"Codere Online, SAU",CODERE APUESTAS MURCIA SL,MURCIA,"LOS MARTINEZ 00004 , 30012 MURCIA - MURCIA"
"Codere Online, SAU",CODERE APUESTAS NAVARRA SA,PAMPLONA,"PL DEL CASTILLO 00002 , 31110 PAMPLONA - "
"Codere Online, SAU",CODERE APUESTAS SA UNIPERSONAL,ALCOBENDAS,"AV BRUSELAS 00026 , 28108 ALCOBENDAS - MADRID"
