Nombre,NombreDel,Enlace,Localidad
"Bluesblock, SA",BLUESBLOCK SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=2oZJnIlp2UYFilQ0BmT5ns5dY9jcMXEq/M5rYK2I7cQ=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,BILBAO
"Codere Online, SAU",CODERE APUESTAS ANDALUCIA SA,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=XIcFvBgNcnCGarO4oywweh3nCHGy65+Ob+lAdMMvzno=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,ANTEQUERA
"Codere Online, SAU",CODERE APUESTAS ARAGON SLU,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=LIESb/2LFj3eh98E89I2xGoAq3UbZkw2O+0WVmq71QI=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,ZARAGOZA
"Codere Online, SAU","CODERE APUESTAS ASTURIAS, S.A.",http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=dWxSuA30dwZMm9YxYNv0I857E2JYo/BB1nSCox+keDE=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,GIJON
"Codere Online, SAU","CODERE APUESTAS BALEARES, S.A.",http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=KUsXJlcZqg7DGetFAE/9/I7XOdLP3xTTqW1iAGsQfeg=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,CONSELL
"Codere Online, SAU","CODERE APUESTAS CANTABRIA, S.A.",http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=UkjV0lNdGQz0uYU/rJtRfakVVYkp5Mgg42Usz9KtBaE=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,SANTANDER
"Codere Online, SAU","CODERE APUESTAS CASTILLA LA MANCHA, S.A.",http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=jtUa0BPeccpu6Il+R7mio5i8Ra8virATunv0FjBu6a0=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,TOLEDO
"Codere Online, SAU","CODERE APUESTAS CASTILLA Y LEON, S.A.",http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=Nq5jbP7TmJvuWXO4D+7q01vCgT0XQjtBaimRpkDrZVU=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,VALLADOLID
"Codere Online, SAU","CODERE APUESTAS CATALUÑA, S.A.",http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=pgTMaLv9+WVCOFdJDhIjnJfuaFgB/L94jA2nj2KbeBU=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,PALAU DE PLEGAMANS
"Codere Online, SAU",CODERE APUESTAS CEUTA SLU,http://mercurio.camaras.org/censo/cgi-bin/ficha.php?id=kyQ0IDs312DBWwtVsc9vvQhU7NsxMcTpOHFbbEAWYm4=&iv=1YI3/hshZifNIj0EmiS2ounygl2geY1Gw1Uy6MvHZNY=&seccion=censo,CEUTA
