Nombre,Licencias,Dominios
"Bluesblock, SA",Concursos,www.bluesblock.es
"Codere Online, SAU","Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida,Hípicas de contrapartida,Otras de contrapartida","www.codere.es,apuestas.codere.es,www.codereapuestas.es,"
"Concursos Multiplataformas, SAU",Concursos,"S,i,n, ,d,o,m,i,n,i,o,"
"Esgaming, SAU","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots","www.casinogranmadridtv.es,www.casinogranmadridonline.es,www.casinogranmadrid.es,"
"Eurojuego Star, SA",Concursos,"www.eurojuego.es,www.eurojuegostar.es,"
"JS2015 Games, SAU",,
"Sociedad Estatal Loterías y Apuestas del Estado, S.M.E.,S.A.","Deportivas mutuas,Hípicas mutuas",www.loteriasyapuestas.es
"Suertia Interactiva, SA","Ruleta,Black Jack,Máquinas de azar - slots,Deportivas mutuas,Deportivas de contrapartida",www.suertia.es
"Unidad Editorial Juegos, SA","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas de contrapartida","apuestas.marca.es,marcaapuestas.es,"
"888 Spain, Plc","Póquer,Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida","www.888.es,www.888casino.es,www.888poker.es,www.888sport.es,"
"Banegras Unión, SA","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas de contrapartida",www.juegging.es
"Beatya Online Entertainment, PLC","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas de contrapartida",www.starvegas.es
"Betfair International, PLC","Póquer,Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida,Deportivas cruzadas,Hípicas de contrapartida,Otras de contrapartida,Otras apuestas cruzadas",www.betfair.es
"Betway Spain, PLC","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots",www.betway.es
"Casino Barcelona Interactivo, SA","Póquer,Ruleta,Black Jack,Máquinas de azar - slots",www.casinobarcelona.es
"Cirsa Digital, SAU","Póquer,Bingo,Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas de contrapartida,Hípicas de contrapartida,Otras de contrapartida",www.sportium.es
"Comar Inversiones, SA","Ruleta,Black Jack,Punto y banca,Máquinas de azar - slots,Deportivas de contrapartida",www.ijuego.es
"Ebingo Online España, SA","Bingo,Ruleta,Black Jack,Máquinas de azar - slots",ebingo.es
"Ekasa Apuestas Online, S.A.","Deportivas de contrapartida,Otras de contrapartida",apuestas.retabet.es
"Electraworks España, PLC","Póquer,Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida","www.bwin.es,www.partypoker.es,"
"Euroapuestas Online, SAU","Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida,Otras de contrapartida",www.paston.es
"Eurobet International, SPA",,
"Eurobox, S.A.","Ruleta,Black Jack,Máquinas de azar - slots,Deportivas de contrapartida",www.circus.es
